bbl loader

 FFT 1024
X[497] -> REAL: 0.000 , IMG: 0.000 
X[498] -> REAL: 1150.000 , IMG: 900.000 
X[499] -> REAL: 0.000 , IMG: 0.000 
X[500] -> REAL: -493.142 , IMG: 530.858 
X[501] -> REAL: 0.000 , IMG: 0.000 
X[502] -> REAL: 1406.000 , IMG: 644.000 
X[503] -> REAL: 0.000 , IMG: 0.000 
X[504] -> REAL: -499.431 , IMG: 524.569 
X[505] -> REAL: 0.000 , IMG: 0.000 
X[506] -> REAL: 1278.000 , IMG: 772.000 
X[507] -> REAL: 0.000 , IMG: 0.000 
X[508] -> REAL: -505.716 , IMG: 518.284 
X[509] -> REAL: 0.000 , IMG: 0.000 
X[510] -> REAL: 1534.000 , IMG: 516.000 
X[511] -> REAL: 0.000 , IMG: 0.000 
X[512] -> REAL: -512.000 , IMG: 512.000 
X[513] -> REAL: 0.000 , IMG: 0.000 
X[514] -> REAL: 1028.000 , IMG: 1022.000 
X[515] -> REAL: 0.000 , IMG: 0.000 
X[516] -> REAL: -518.284 , IMG: 505.716 
X[517] -> REAL: 0.000 , IMG: 0.000 
X[518] -> REAL: 1284.000 , IMG: 766.000 
X[519] -> REAL: 0.000 , IMG: 0.000 
X[520] -> REAL: -524.569 , IMG: 499.431 
X[521] -> REAL: 0.000 , IMG: 0.000 
X[522] -> REAL: 1156.000 , IMG: 894.000 
X[523] -> REAL: 0.000 , IMG: 0.000 
X[524] -> REAL: -530.858 , IMG: 493.142 
X[525] -> REAL: 0.000 , IMG: 0.000 
